Eje X,Eje Y,Eje Z
91,-8,-74
-73,-8,-39
-70,-14,40
60,-14,71
108,20,-46
-60,-16,-61
-76,-26,32
39,-39,86
113,10,-75
-80,9,-49
-79,-25,37
78,-30,88
79,7,-98
-74,2,-42
-67,-34,34
82,-30,78
89,16,-71
-85,-11,-43
-59,-35,46
98,-20,64
74,-10,-102
-102,-6,-45
-49,-44,43
54,-29,57
57,2,-77
-93,-16,-25
-37,-33,58
111,-20,42
-12,-16,-75
-80,-7,-13
-15,-40,53
126,-18,21
3,-20,-93
-94,-12,-8
-27,-38,58
120,-17,26
14,-12,-110
-98,-14,1
-29,-28,46
118,2,44
42,-5,-84
-99,-15,-20
-28,-33,49
111,-26,41
-3,-27,-77
-95,-7,-19
-23,-41,60
109,-33,47
38,10,-99
-107,0,-17
-43,-25,59
130,-32,42
5,0,-94
-117,-11,-19
-6,-27,56
151,-44,44
-22,-7,-92
-95,-18,-7
-5,-47,56
152,-5,20
-37,-29,-85
-109,0,-7
-7,-54,55
132,-32,16
-18,-2,-77
-99,-4,-8
-19,-34,52
105,-33,59
5,-12,-99
-99,-2,-4
-12,-50,60
129,-22,46
-19,-20,-93
-98,-18,-12
0,-57,63
128,-10,28
-27,-23,-94
-99,-5,-2
-1,-50,63
136,-16,-36
-35,-12,-70
-94,-20,20
13,-57,70
148,23,-43
-59,11,-74
-93,-19,17
55,-34,86
102,25,-46
-45,2,-66
-92,-23,23
43,-45,79
114,29,-51
-45,-8,-70
-84,-22,27
34,-57,89
119,51,-75
-68,-2,-76
-96,-28,29
62,-39,90
103,66,-53
-39,-7,-83
-103,-43,15
35,-29,96
132,29,-21
-48,-7,-80
-88,-40,-1
41,-61,89
95,29,-57
-50,-3,-73
-90,-48,21
39,-29,97
110,73,-35
-49,0,-70
-87,-32,17
45,-33,84
119,-14,-71
-82,-6,-55
-93,0,30
67,-32,90
101,18,-52
-47,-17,-60
-78,-17,7
10,-43,57
119,-49,-10
-44,-20,-60
-85,0,12
12,-34,53
142,18,-16
-29,-23,-69
-94,12,0
-9,-31,50
98,-15,34
20,18,-91
-103,-8,-13
-36,-30,52
85,-34,56
65,-8,-91
-87,-7,-32
-40,-37,44
102,-15,58
74,30,-89
-97,-13,-34
-61,-32,40
76,-24,86
118,-2,-73
-77,0,-67
-94,-21,25
39,-50,78
114,34,-55
-82,-33,-54
-63,-23,54
66,-21,70
80,21,-77
-80,3,-55
-79,-21,31
79,-30,79
99,22,-64
-62,-7,-73
-90,-29,40
63,-36,81
84,35,-54
-68,11,-57
-88,-74,33
107,-36,67
40,7,-104
-105,-3,-16
-31,-44,53
128,-31,31
-16,-16,-83
-100,8,7
0,-44,67
132,-42,15
-25,-14,-92
-104,-3,16
5,-14,73
110,-29,-3
-47,-29,-73
-87,-11,7
43,-45,75
102,14,-28
-66,-7,-55
-93,-10,33
52,-34,75
134,18,-62
-94,-8,-54
-70,-15,39
80,-38,60
78,15,-108
-102,-5,-47
-83,-2,27
79,-9,92
98,9,-54
-72,-13,-45
-82,-22,40
58,-28,59
79,9,-75
-73,12,-41
-81,-12,38
57,-33,43
122,8,-19
-52,-6,-60
-86,-5,13
30,-50,57
133,10,-35
-57,-29,-67
-96,-3,14
14,-34,50
115,-38,17
-26,-27,-78
-104,3,4
-10,-48,52
130,-12,26
11,-7,-87
-106,-2,-13
-39,-21,58
83,-33,52
78,-8,-90
-77,-3,-56
-92,-29,38
68,-37,69
112,4,-42
-58,-8,-67
-89,-19,24
37,-44,67
111,-9,-27
-37,-11,-74
-78,0,6
-12,-57,50
123,-13,-1
2,8,-75
-90,10,4
-19,-40,51
126,-7,32
17,-17,-86
-97,-8,-19
-18,-28,59
94,-12,32
14,-16,-82
-92,-13,-17
-20,-56,60
93,7,54
30,-24,-81
-91,0,-22
-38,-40,38
126,-25,19
31,-38,-108
-107,4,-17
-36,-44,57
125,-28,31
36,2,-83
-101,-4,-1
-31,-25,41
77,-7,36
37,-13,-102
-99,-2,-9
-34,-35,47
87,-10,48
43,-6,-81
-96,-12,-15
-30,-31,45
103,-15,33
58,3,-91
-108,-8,-10
-43,-38,55
89,-24,43
55,-8,-103
-103,3,-18
-32,-41,53
102,-12,67
45,-1,-91
-92,-22,-35
-53,-45,33
80,-19,43
107,-9,-55
-77,4,-61
-93,-24,42
46,-49,76
125,11,-43
-57,-14,-64
-99,-12,38
26,-34,74
137,-21,-36
-42,-36,-71
-111,0,12
-3,-45,56
81,23,10
11,-29,-88
-97,-12,-12
-28,-38,45
101,-6,52
95,8,-89
-89,-22,-29
-56,-38,41
84,-35,50
67,12,-95
-106,-4,-27
-72,-30,51
86,-38,52
83,32,-74
-80,-6,-32
-79,-11,45
58,-14,64
122,-22,-50
-46,-19,-72
-106,-14,9
17,-47,54
144,-46,2
-11,1,-71
-89,-6,-13
-35,-26,37
88,-9,50
94,-26,-63
-78,-14,-31
-72,-8,35
59,-16,58
120,17,-14
-43,0,-73
-110,-17,18
-11,-58,60
143,-28,-32
-51,-58,-77
-97,-6,12
-23,-50,76
133,-23,-1
-28,-74,-91
-109,6,0
-13,-42,59
128,-15,16
13,-13,-92
-95,-15,-5
-37,-24,49
97,-29,50
66,17,-91
-102,-10,-23
-55,-34,50
79,-17,57
75,-8,-65
-68,5,-40
-68,-22,33
51,-16,74
119,14,-34
-33,-17,-80
-97,-30,7
9,-47,54
105,-23,18
0,-37,-91
-93,14,-16
-47,-24,51
73,-23,63
82,-3,-101
-94,-12,-19
-45,-36,55
101,-12,28
35,-1,-94
-90,3,5
-14,-26,72
115,-28,5
1,5,-87
-93,-14,2
24,-28,82
98,-4,-33
-47,-15,-64
-88,1,7
-20,-61,83
126,1,-9
-16,-34,-95
-96,-3,2
-30,-33,65
115,-9,4
-2,-18,-80
-95,-14,0
0,-14,65
116,3,-9
-17,-28,-72
-90,-19,7
9,-55,76
131,-48,-24
-38,-23,-74
-99,-2,10
14,-39,76
90,8,-10
-8,-25,-76
-90,1,-4
-27,-27,57
92,-27,28
24,-7,-85
-88,-4,-10
-43,-32,56
99,-39,46
34,4,-90
-89,4,-18
-49,-24,48
79,-21,42
76,-18,-74
-70,12,-39
-73,-21,33
42,-39,50
91,-21,-4
5,-19,-90
-91,-3,3
-55,-20,57
61,-25,46
86,17,-54
-50,-17,-56
-83,-11,20
14,-48,71
106,-4,-6
